PERNR	SUBTY	BEGDA	BETRG
20014	2017	30.12.2015	0000056927.26
20023	2017	30.12.2015	0000063161.51
20043	2017	30.12.2015	0000333124.14
20049	2017	30.12.2015	0000073722.32
20052	2017	30.12.2015	0000058507.70
20076	2017	30.12.2015	0000147279.21
20079	2017	30.12.2015	0000082823.72
20108	2017	30.12.2015	0000104029.73
20123	2017	30.12.2015	0001237133.42
20129	2017	30.12.2015	0000036489.59
20145	2017	30.12.2015	0000060629.87
20189	2017	30.12.2015	0000041731.38
20204	2017	30.12.2015	0000081898.46
20208	2017	30.12.2015	0000136976.46
20219	2017	30.12.2015	0000096255.65
20243	2017	30.12.2015	0000054337.14
20257	2017	30.12.2015	0000061300.07
20275	2017	30.12.2015	0000098259.28
20290	2017	30.12.2015	0000200205.11
20294	2017	30.12.2015	0000065860.06
20295	2017	30.12.2015	0000095331.81
20307	2017	30.12.2015	0000165231.24
20338	2017	30.12.2015	0000166800.35
20354	2017	30.12.2015	0000087872.95
20371	2017	30.12.2015	0000135098.40
20391	2017	30.12.2015	0000159159.92
20400	2017	30.12.2015	0000108512.77
20402	2017	30.12.2015	0000119449.30
20405	2017	30.12.2015	0000118836.56
20417	2017	30.12.2015	0000019406.91
20446	2017	30.12.2015	0000038187.11
20450	2017	30.12.2015	0000098628.35
20481	2017	30.12.2015	0000096355.37
20489	2017	30.12.2015	0000029346.58
20499	2017	30.12.2015	0000225654.38
20507	2017	30.12.2015	0000088894.14
20529	2017	30.12.2015	0000142518.60
20557	2017	30.12.2015	0000242176.97
20568	2017	30.12.2015	0000013958.02
20569	2017	30.12.2015	0000030858.85
20577	2017	30.12.2015	0000108802.83
20586	2017	30.12.2015	0002334679.28
20601	2017	30.12.2015	0000081115.97
20602	2017	30.12.2015	0000353527.06
20609	2017	30.12.2015	0000069268.02
20616	2017	30.12.2015	0000061738.61
20637	2017	30.12.2015	0000245457.53
20639	2017	30.12.2015	0000134545.11
20651	2017	30.12.2015	0000098087.06
20656	2017	30.12.2015	0000156936.03
20669	2017	30.12.2015	0000054745.22
20672	2017	30.12.2015	0000044559.20
20674	2017	30.12.2015	0000241453.91
20676	2017	30.12.2015	0000045531.71
20677	2017	30.12.2015	0000103384.55
20689	2017	30.12.2015	0000074262.30
20698	2017	30.12.2015	0000019558.72
20700	2017	30.12.2015	0000001107.63
20723	2017	30.12.2015	0000211166.21
20724	2017	30.12.2015	0000082467.47
20727	2017	30.12.2015	0000041498.85
20732	2017	30.12.2015	0000029928.62
20739	2017	30.12.2015	0000170645.95
20742	2017	30.12.2015	0000053631.86
20748	2017	30.12.2015	0000390234.66
20759	2017	30.12.2015	0000193060.52
20761	2017	30.12.2015	0000247860.34
20876	2017	30.12.2015	0000183700.01
20973	2017	30.12.2015	0000024209.50
20975	2017	30.12.2015	0000112031.79
20982	2017	30.12.2015	0000074314.52
21011	2017	30.12.2015	0000043930.41
21023	2017	30.12.2015	0000035440.19
21031	2017	30.12.2015	0000219372.61
21058	2017	30.12.2015	0000067989.84
21082	2017	30.12.2015	0000082331.22
21100	2017	30.12.2015	0000076372.06
21118	2017	30.12.2015	0000166829.44
21130	2017	30.12.2015	0000152120.42
21143	2017	30.12.2015	0000064194.55
21149	2017	30.12.2015	0000104974.04
21161	2017	30.12.2015	0000110961.41
21164	2017	30.12.2015	0000032450.31
21173	2017	30.12.2015	0000058974.59
21184	2017	30.12.2015	0000031663.82
21200	2017	30.12.2015	0000090313.56
21238	2017	30.12.2015	0000119999.35
21252	2017	30.12.2015	0000050305.77
21265	2017	30.12.2015	0000048987.36
21277	2017	30.12.2015	0000142560.97
21314	2017	30.12.2015	0000092584.61
21350	2017	30.12.2015	0000040001.48
21363	2017	30.12.2015	0000060702.71
21381	2017	30.12.2015	0000011128.86
21408	2017	30.12.2015	0000068483.35
21415	2017	30.12.2015	0000102366.98
21430	2017	30.12.2015	0000077193.31
21433	2017	30.12.2015	0000060238.13
21435	2017	30.12.2015	0000399140.11
21501	2017	30.12.2015	0000057629.49
21502	2017	30.12.2015	0000067316.27
21513	2017	30.12.2015	0000154360.33
21536	2017	30.12.2015	0000020379.34
21541	2017	30.12.2015	0000208735.03
21573	2017	30.12.2015	0000133601.17
21582	2017	30.12.2015	0000151183.73
21632	2017	30.12.2015	0000145392.15
21652	2017	30.12.2015	0000070705.36
21656	2017	30.12.2015	0000118015.80
21658	2017	30.12.2015	0000093960.58
21671	2017	30.12.2015	0000074417.96
21672	2017	30.12.2015	0000114397.47
21694	2017	30.12.2015	0000099503.62
21697	2017	30.12.2015	0000102154.19
21700	2017	30.12.2015	0000086275.75
230197	2017	30.12.2015	0000027266.78
