PERNR	SUBTY	BEGDA	BETRG
20014	2018	07.12.2015	0000058667.91
20023	2018	07.12.2015	0000054555.84
20049	2018	07.12.2015	0000138717.08
20052	2018	07.12.2015	0000047429.08
20079	2018	07.12.2015	0000150549.06
20108	2018	07.12.2015	0000249304.00
20123	2018	07.12.2015	0000804266.38
20129	2018	07.12.2015	0000076096.66
20145	2018	07.12.2015	0000180200.38
20189	2018	07.12.2015	0000044217.94
20204	2018	07.12.2015	0000239701.08
20208	2018	07.12.2015	0000122664.77
20219	2018	07.12.2015	0000287736.69
20243	2018	07.12.2015	0000087460.90
20257	2018	07.12.2015	0000166571.21
20275	2018	07.12.2015	0000069001.26
20290	2018	07.12.2015	0000415641.04
20294	2018	07.12.2015	0000092073.61
20295	2018	07.12.2015	0000308442.00
20307	2018	07.12.2015	0000093374.50
20338	2018	07.12.2015	0000046750.40
20354	2018	07.12.2015	0000115360.00
20371	2018	07.12.2015	0000040935.76
20391	2018	07.12.2015	0000417205.95
20400	2018	07.12.2015	0000496279.27
20402	2018	07.12.2015	0000060028.63
20405	2018	07.12.2015	0000009299.34
20446	2018	07.12.2015	0000004228.98
20450	2018	07.12.2015	0000085812.96
20481	2018	07.12.2015	0000082157.85
20499	2018	07.12.2015	0000079558.46
20507	2018	07.12.2015	0000038745.98
20529	2018	07.12.2015	0000048099.50
20557	2018	07.12.2015	0000229495.82
20577	2018	07.12.2015	0000139441.49
20601	2018	07.12.2015	0000234595.74
20602	2018	07.12.2015	0000107794.14
20609	2018	07.12.2015	0000131592.80
20616	2018	07.12.2015	0000015299.75
20637	2018	07.12.2015	0000760143.30
20639	2018	07.12.2015	0000234665.60
20651	2018	07.12.2015	0000018873.58
20656	2018	07.12.2015	0000163966.04
20669	2018	07.12.2015	0000005303.64
20672	2018	07.12.2015	0000027748.84
20674	2018	07.12.2015	0000089657.87
20676	2018	07.12.2015	0000111365.88
20677	2018	07.12.2015	0000041317.29
20689	2018	07.12.2015	0000207118.42
20698	2018	07.12.2015	0000001825.04
20723	2018	07.12.2015	0000428779.94
20724	2018	07.12.2015	0000132184.87
20739	2018	07.12.2015	0000036671.22
20759	2018	07.12.2015	0000073189.07
20761	2018	07.12.2015	0000280059.61
20876	2018	07.12.2015	0000089917.70
20973	2018	07.12.2015	0000082812.95
20975	2018	07.12.2015	0000135337.31
21011	2018	07.12.2015	0000133108.84
21023	2018	07.12.2015	0000026899.76
21031	2018	07.12.2015	0000210621.82
21033	2018	07.12.2015	0000198896.12
21058	2018	07.12.2015	0000165491.58
21082	2018	07.12.2015	0000088322.34
21100	2018	07.12.2015	0000033526.46
21118	2018	07.12.2015	0000131908.02
21149	2018	07.12.2015	0000086902.30
21161	2018	07.12.2015	0000082903.02
21164	2018	07.12.2015	0000031952.86
21200	2018	07.12.2015	0000122397.42
21238	2018	07.12.2015	0000315555.05
21252	2018	07.12.2015	0000160780.21
21265	2018	07.12.2015	0000006235.96
21277	2018	07.12.2015	0000135127.20
21314	2018	07.12.2015	0000159728.88
21350	2018	07.12.2015	0000320233.26
21363	2018	07.12.2015	0000074392.55
21415	2018	07.12.2015	0000432571.38
21430	2018	07.12.2015	0000066841.91
21502	2018	07.12.2015	0000303321.41
21513	2018	07.12.2015	0000241000.63
21541	2018	07.12.2015	0000260094.94
21573	2018	07.12.2015	0000077653.39
21582	2018	07.12.2015	0000206146.20
21632	2018	07.12.2015	0000254784.81
21652	2018	07.12.2015	0000125986.34
21656	2018	07.12.2015	0000178609.76
21658	2018	07.12.2015	0000048531.44
21671	2018	07.12.2015	0000297473.28
21672	2018	07.12.2015	0000648408.20
21694	2018	07.12.2015	0000112361.02
21697	2018	07.12.2015	0000065344.92
21700	2018	07.12.2015	0000083005.29
230197	2018	07.12.2015	0000031596.06
230814	2018	07.12.2015	0000461259.17
231247	2018	07.12.2015	0000226339.98
231842	2018	07.12.2015	0000068959.41
232361	2018	07.12.2015	0000018142.91
232751	2018	07.12.2015	0000247602.84
232894	2018	07.12.2015	0000175436.30
233231	2018	07.12.2015	0000013259.79
233283	2018	07.12.2015	0000139616.18
234259	2018	07.12.2015	0000445877.23
234989	2018	07.12.2015	0000096964.78
235121	2018	07.12.2015	0000071398.32
235209	2018	07.12.2015	0000051866.02
235973	2018	07.12.2015	0000196500.72
237464	2018	07.12.2015	0000117761.10
237673	2018	07.12.2015	0000243228.08
238192	2018	07.12.2015	0000181646.53
